"Coca-Cola Light Taste 0,5l",500.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,False,0
"Coca-Cola Light Taste 0,4l",400.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,,False,0
"Coca-Cola Light Taste 0,25l",250.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,False,0
"Coca-Cola Zero Sugar 0,5l",500.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,,False,0
"Coca-Cola Zero Sugar 0,4l",400.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,,False,0
"Coca-Cola Zero Sugar 0,25l",250.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,,False,0
"Lipton Ice Tea Peach 0,5l",501.0,347.0,82.0,0.0,0.0,20.0,19.0,0.0,0.0,0.04,,False,0
"Lipton Ice Tea Peach 0,4l",401.0,278.0,66.0,0.0,0.0,16.0,15.0,0.0,0.0,0.04,,False,0
"Lipton Ice Tea Peach 0,25l",251.0,174.0,41.0,0.0,0.0,9.8,9.5,0.0,0.0,0.02,,False,0
"Fanta 0,5l",500.0,800.0,190.0,0.0,0.0,50.0,45.0,0.0,0.0,0.05,,False,0
"Fanta 0,4l",400.0,640.0,152.0,0.0,0.0,40.0,36.0,0.0,0.0,0.04,,False,0
"Fanta 0,25l",250.0,400.0,95.0,0.0,0.0,25.0,23.0,0.0,0.0,0.03,,False,0
"Sprite 0,5l",500.0,705.0,165.0,0.0,0.0,40.0,40.0,0.0,0.0,0.1,,False,0
"Sprite 0,4l",400.0,564.0,132.0,0.0,0.0,32.0,32.0,0.0,0.0,0.08,,False,0
"Sprite 0,25l",250.0,352.0,82.0,0.0,0.0,20.0,20.0,0.0,0.0,0.05,,False,0
"ViO Mineralwasser Still 0,5l",500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0
"Adelholzener Apfelschorle 0,5l",500.0,540.0,125.0,2.5,0.5,30.0,29.0,0.0,2.5,0.05,,False,0
"Orangensaft 0,25l",250.0,430.0,103.0,0.0,0.0,23.0,21.0,1.5,2.0,0.0,,False,0
"Red Bull 0,25l",250.0,485.0,115.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,,False,0
Café Grande,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,,False,0
Café Regular,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0
Café Small,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0
Cappuccino Grande,279.0,342.0,82.0,4.5,0.0,6.1,6.1,0.0,4.2,0.17,,False,0
Cappuccino Regular,203.0,274.0,66.0,3.6,0.0,4.8,4.8,0.0,3.4,0.13,,False,0
Cappuccino Small,140.0,173.0,42.0,2.3,0.0,3.0,3.0,0.0,2.1,0.08,,False,0
Latte Macchiato Grande,275.0,466.0,112.0,6.1,0.0,8.2,8.2,0.0,5.8,0.23,,False,0
Latte Macchiato Regular,203.0,340.0,82.0,4.5,0.0,6.0,6.0,0.0,8.4,0.17,,False,0
"Caramel Macchiato Grande 0,4l",303.0,997.0,237.0,6.0,3.9,40.0,31.0,0.0,5.7,0.22,,False,0
"Caramel Macchiato Regular 0,3l",229.0,692.0,164.0,4.3,2.8,27.0,21.0,0.0,4.2,0.16,,False,0
Espresso Grande,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,False,0
Espresso Small,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,False,0
Espresso Macchiato grande,10.0,27.0,6.0,0.4,0.0,0.5,0.5,0.0,0.3,0.01,,False,0
Espresso Macchiato small,10.0,27.0,6.0,0.4,0.0,0.5,0.5,0.0,0.3,0.01,,False,0
Chai Latte Grande,315.0,1266.0,302.0,9.6,0.0,44.0,36.0,0.0,9.0,0.36,,False,0
Chai Latte Regular,223.0,881.0,210.0,6.9,0.0,30.0,25.0,0.0,6.5,0.25,,False,0
Dark Chocolate grande,294.0,1219.0,292.0,12.0,1.7,32.0,31.0,3.7,11.0,0.45,,False,0
Dark Chocolate regular,220.0,913.0,219.0,8.9,1.2,24.0,23.0,2.8,8.4,0.33,,False,0
Dark Chocolate small,147.0,610.0,146.0,6.0,0.8,16.0,16.0,1.9,5.6,0.22,,False,0
Heißes Kakaogetränk grande,256.0,1365.0,326.0,12.0,2.6,41.0,39.0,5.8,11.0,0.43,,False,0
Heißes Kakaogetränk small,128.0,683.0,163.0,5.8,1.3,21.0,19.0,2.9,5.4,0.22,,False,0
